LATDECIMALNMB,LONGDECIMALNMB
39.65073,-86.12316
0,0
39.81411,-85.98727
39.88487835,-86.20820047
39.83159,-86.25816
0,0
39.91115,-86.21636
39.77227,-86.17003149
39.81156878,-86.21987808
0,0
39.77903149,-86.26599046
39.83562226,-86.24650574
39.88836539,-86.12217633
39.90481,-86.05025
0,0
39.829568,-86.252928
0,0
39.77750542,-86.18294955
0,0
39.79864,-86.20408032
0,0
41.590368,-85.840016
38.77473567,-85.64725724
39.35148815,-85.47951148
39.64522764,-85.13807127
40.37447,-86.76905
40.04754954,-85.995776
38.33124,-85.75913
38.388016,-86.931744
40.00042806,-86.11845808
39.83093916,-84.85194691
40.04287871,-86.48623801
40.218848,-85.40276299
40.03822373,-85.9977295
40.218848,-85.40484784
38.16272,-86.990432
40.4485464,-86.13101687
41.36289,-85.08031
41.722863,-85.975753
40.48773094,-86.16319412
39.42961,-87.417447
41.05792,-86.22452
39.95612,-86.03904
41.74992,-86.111184
41.648656,-87.052448
39.92974497,-86.03230221
41.05245,-86.22096
40.13866645,-87.39667984
41.587744,-85.84280873
41.6476768,-85.9364512
40.45784,-86.91683
41.52288242,-87.50862529
39.95714218,-85.99506007
40.03518,-85.99205
38.871392,-86.518016
40.00354,-85.77055
41.537632,-87.4313482
40.57325,-85.6765
38.3588905,-85.78638103
41.37687,-87.46941
41.71999775,-86.18575184
38.860992,-86.51744
37.97992,-87.47252
38.324978,-85.801086
39.92834,-86.02708
39.62295,-85.29993
40.46451102,-86.9361904
39.01411,-85.64215
41.58570631,-87.21392014
38.77473567,-85.64725724
39.52328,-87.12452
39.959414,-86.009893
41.13853,-85.17328
39.996041,-85.927853
41.26964,-85.85362
39.92712519,-85.38183782
39.51881,-85.75352
39.92701159,-86.0238511
40.44784,-86.121088
38.774727,-85.399654
40.7681472,-86.35121472
41.51965236,-87.51674036
41.49992,-87.041712
40.04700058,-86.02517949
39.97443,-85.87817
41.6682442,-86.89399047
38.685664,-87.52312
40.476736,-86.10525091
39.62954,-86.31584
0,0
40.933552,-87.156384
39.90573,-86.0641
40.222736,-85.36942839
38.0503,-87.30724
38.695568,-87.509632
38.860992,-86.51744
39.17795396,-86.58311563
39.50621,-87.3986
39.71855,-86.35714
41.45744711,-87.335824
40.47495,-86.10069
39.90192869,-85.95977214
39.74785,-86.32279
39.860292,-85.260013
37.988224,-87.52936
40.07038,-85.64093
39.14186,-86.57992
41.41779177,-85.75594537
39.67130025,-86.13450351
39.448304,-87.413776
37.955328,-86.764784
41.531264,-87.43735407
40.22216458,-85.442768
41.705696,-85.993456
41.443168,-86.15129568
39.12384049,-84.85255102
40.07275886,-85.65297371
41.715376,-86.904016
41.4676,-87.0464
40.278832,-86.504864
39.92552,-86.15694
39.78219,-86.04218
39.82350803,-86.2531491
39.86215837,-85.97356408
39.840624,-86.387952
39.91184,-86.074992
38.860992,-86.50968
39.90383,-85.84425
39.79617437,-86.08339069
0,0
39.801664,-86.013088
0,0
39.94574,-86.36949
39.4197,-86.39026
39.96196462,-86.15105102
39.936832,-86.160736
39.10303159,-87.42340682
40.39224,-86.85322
38.28744,-85.82325867
38.65869797,-87.5307414
40.21756014,-85.44076366
39.71087,-86.08193
40.41815,-86.84643
38.30538286,-85.83978678
39.61866,-86.3788
40.23835503,-85.41638985
39.625664,-85.444928
38.299776,-85.72536
0,0
39.77473899,-85.990048
40.19581705,-85.34729665
0,0
39.83093204,-84.85217451
39.10064159,-84.8525774
40.41369,-86.85894
38.33376,-87.352128
40.1715,-84.96182
41.55686,-85.78803
39.91218,-86.21898
40.420078,-86.856396
39.78558,-85.75235
0,0
39.77866,-86.26339
